0.000000	6.022493	BOAALB_M
1.665042	2.656982	BOALUN_F
5.136832	6.081537	BOALUN_F
7.711153	9.151827	BOALUN_F
9.222680	12.517338	BOAALB_M
11.879662	13.261293	BOALUN_F
14.914527	16.024555	BOALUN_F
16.910215	22.578444	BOAALB_M
18.291846	19.390065	BOALUN_F
22.661106	23.983692	BOALUN_F
26.357263	27.396438	BOALUN_F
26.711527	39.158013	BOAALB_M
30.041612	32.840300	BOALUN_F
42.854170	44.271227	BOALUN_F
43.928772	44.684536	BOAALB_F
45.641049	46.715651	BOALUN_F
48.309840	49.785941	BOAALB_F
50.848734	53.352202	BOAALB_F
58.465416	59.044048	BOAALB_F
